 Writing video to: /home/p06lab/PHYS/AnimatedDrawings/video.gif
Render time: 8.05 seconds
         3171071 function calls (2964902 primitive calls) in 8.056 seconds

   Ordered by: cumulative time
   List reduced from 5619 to 1000 due to restriction <1000>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    8.056    8.056 /home/p06lab/PHYS/AnimatedDrawings/animated_drawings/render.py:9(start)
        1    0.000    0.000    4.453    4.453 /home/p06lab/PHYS/AnimatedDrawings/animated_drawings/model/scene.py:19(__init__)
        1    0.003    0.003    4.453    4.453 /home/p06lab/PHYS/AnimatedDrawings/animated_drawings/model/animated_drawing.py:225(__init__)
        1    0.001    0.001    2.922    2.922 /home/p06lab/PHYS/AnimatedDrawings/animated_drawings/controller/controller.py:76(run)
      170    0.007    0.000    2.136    0.013 /home/p06lab/PHYS/AnimatedDrawings/animated_drawings/model/animated_drawing.py:365(update)
      169    0.000    0.000    2.121    0.013 /home/p06lab/PHYS/AnimatedDrawings/animated_drawings/controller/video_render_controller.py:92(_tick)
      169    0.000    0.000    2.121    0.013 /home/p06lab/PHYS/AnimatedDrawings/animated_drawings/model/scene.py:37(progress_time)
 3211/169    0.002    0.000    2.121    0.013 /home/p06lab/PHYS/AnimatedDrawings/animated_drawings/model/scene.py:45(_progress_time)
      338    0.001    0.000    2.119    0.006 /home/p06lab/PHYS/AnimatedDrawings/animated_drawings/model/time_manager.py:18(tick)
      171    0.012    0.000    1.896    0.011 /home/p06lab/PHYS/AnimatedDrawings/animated_drawings/model/arap.py:170(solve)
        1    0.327    0.327    1.863    1.863 /home/p06lab/PHYS/AnimatedDrawings/animated_drawings/model/arap.py:41(__init__)
      513    0.005    0.000    1.815    0.004 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/scipy/sparse/linalg/_dsolve/linsolve.py:126(spsolve)
      513    1.753    0.003    1.753    0.003 {built-in method scipy.sparse.linalg._dsolve._superlu.gssv}
89083/79689    0.092    0.000    1.442    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
        1    0.027    0.027    1.415    1.415 /home/p06lab/PHYS/AnimatedDrawings/animated_drawings/model/animated_drawing.py:495(_generate_mesh)
     4919    0.006    0.000    1.120    0.000 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/shapely/geometry/base.py:768(contains)
     4919    1.105    0.000    1.112    0.000 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/shapely/predicates.py:11(__call__)
        5    0.000    0.000    0.664    0.133 <__array_function__ internals>:177(det)
        5    0.664    0.133    0.664    0.133 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/numpy/linalg/linalg.py:2085(det)
        1    0.316    0.316    0.657    0.657 /home/p06lab/PHYS/AnimatedDrawings/animated_drawings/model/animated_drawing.py:413(_initialize_joint_to_triangles_dict)
  1451/23    0.005    0.000    0.645    0.028 <frozen importlib._bootstrap>:986(_find_and_load)
  1437/23    0.004    0.000    0.644    0.028 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
  1327/19    0.004    0.000    0.643    0.034 <frozen importlib._bootstrap>:650(_load_unlocked)
  1927/25    0.001    0.000    0.642    0.026 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
  1117/15    0.002    0.000    0.642    0.043 <frozen importlib._bootstrap_external>:837(exec_module)
  1508/15    0.021    0.000    0.640    0.043 {built-in method builtins.exec}
        1    0.000    0.000    0.529    0.529 /home/p06lab/PHYS/AnimatedDrawings/animated_drawings/controller/video_render_controller.py:109(_cleanup_after_run_loop)
        1    0.000    0.000    0.527    0.527 /home/p06lab/PHYS/AnimatedDrawings/animated_drawings/controller/video_render_controller.py:175(cleanup)
        1    0.000    0.000    0.525    0.525 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/PIL/Image.py:2353(save)
        1    0.000    0.000    0.522    0.522 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/PIL/GifImagePlugin.py:652(_save_all)
        1    0.000    0.000    0.522    0.522 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/PIL/GifImagePlugin.py:656(_save)
        1    0.002    0.002    0.522    0.522 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/PIL/GifImagePlugin.py:577(_write_multiple_frames)
  528/518    0.003    0.000    0.513    0.001 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/scipy/sparse/_compressed.py:26(__init__)
20176/17432    0.011    0.000    0.498    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
        5    0.003    0.001    0.477    0.095 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/scipy/sparse/_coo.py:127(__init__)
       22    0.475    0.022    0.475    0.022 {method 'nonzero' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.460    0.460 /home/p06lab/PHYS/AnimatedDrawings/animated_drawings/model/animated_drawing.py:314(_initialize_retargeter_bvh)
        1    0.000    0.000    0.456    0.456 /home/p06lab/PHYS/AnimatedDrawings/animated_drawings/model/retargeter.py:30(__init__)
        1    0.000    0.000    0.448    0.448 /home/p06lab/PHYS/AnimatedDrawings/animated_drawings/view/view.py:38(create_view)
  751/173    0.001    0.000    0.436    0.003 {built-in method builtins.__import__}
        1    0.000    0.000    0.434    0.434 /home/p06lab/PHYS/AnimatedDrawings/animated_drawings/view/mesa_view.py:5(<module>)
        1    0.002    0.002    0.431    0.431 /home/p06lab/PHYS/AnimatedDrawings/animated_drawings/model/retargeter.py:115(_compute_normalized_joint_positions_and_fwd_vectors)
        1    0.000    0.000    0.355    0.355 /home/p06lab/PHYS/AnimatedDrawings/animated_drawings/model/scene.py:5(<module>)
        1    0.000    0.000    0.354    0.354 /home/p06lab/PHYS/AnimatedDrawings/animated_drawings/model/animated_drawing.py:5(<module>)
      170    0.000    0.000    0.279    0.002 /home/p06lab/PHYS/AnimatedDrawings/animated_drawings/model/bvh.py:84(apply_frame)
1179/1010    0.004    0.000    0.279    0.000 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/PIL/Image.py:868(convert)
 5780/170    0.028    0.000    0.278    0.002 /home/p06lab/PHYS/AnimatedDrawings/animated_drawings/model/bvh.py:89(_apply_frame_rotations)
     30/9    0.000    0.000    0.277    0.031 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/importlib/__init__.py:109(import_module)
     30/9    0.000    0.000    0.277    0.031 <frozen importlib._bootstrap>:1002(_gcd_import)
54848/51246    0.010    0.000    0.272    0.000 {built-in method builtins.hasattr}
        2    0.000    0.000    0.262    0.131 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/skimage/_shared/lazy.py:60(__getattr__)
    23634    0.258    0.000    0.258    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     9855    0.007    0.000    0.258    0.000 <__array_function__ internals>:177(sum)
    14552    0.018    0.000    0.249    0.000 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/numpy/core/fromnumeric.py:69(_wrapreduction)
     9855    0.011    0.000    0.243    0.000 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2188(sum)
     21/3    0.000    0.000    0.229    0.076 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/scipy/__init__.py:198(__getattr__)
        1    0.000    0.000    0.212    0.212 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/skimage/measure/__init__.py:1(<module>)
      169    0.001    0.000    0.210    0.001 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/PIL/GifImagePlugin.py:469(_normalize_mode)
        1    0.000    0.000    0.200    0.200 /home/p06lab/PHYS/AnimatedDrawings/animated_drawings/config.py:5(<module>)
      170    0.000    0.000    0.195    0.001 /home/p06lab/PHYS/AnimatedDrawings/animated_drawings/model/animated_drawing.py:107(set_global_orientations)
 2720/170    0.018    0.000    0.195    0.001 /home/p06lab/PHYS/AnimatedDrawings/animated_drawings/model/animated_drawing.py:171(_set_global_orientations)
      169    0.001    0.000    0.194    0.001 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/PIL/Image.py:1099(quantize)
      169    0.191    0.001    0.191    0.001 {method 'quantize' of 'ImagingCore' objects}
     7684    0.012    0.000    0.177    0.000 /home/p06lab/PHYS/AnimatedDrawings/animated_drawings/model/quaternions.py:23(__init__)
        1    0.000    0.000    0.177    0.177 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/skimage/measure/_polygon.py:1(<module>)
        1    0.000    0.000    0.177    0.177 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/scipy/signal/__init__.py:1(<module>)
      169    0.003    0.000    0.172    0.001 /home/p06lab/PHYS/AnimatedDrawings/animated_drawings/controller/video_render_controller.py:98(_finish_run_loop_iteration)
      686    0.001    0.000    0.167    0.000 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/scipy/sparse/_base.py:626(__matmul__)
      686    0.001    0.000    0.163    0.000 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/scipy/sparse/_base.py:510(_mul_dispatch)
      169    0.151    0.001    0.153    0.001 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/OpenGL/GL/images.py:340(glReadPixels)
      336    0.001    0.000    0.140    0.000 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/PIL/GifImagePlugin.py:567(_getbbox)
     7481    0.008    0.000    0.130    0.000 /home/p06lab/PHYS/AnimatedDrawings/animated_drawings/model/transform.py:178(set_rotation)
     7686    0.036    0.000    0.129    0.000 /home/p06lab/PHYS/AnimatedDrawings/animated_drawings/model/quaternions.py:60(normalize)
     6508    0.048    0.000    0.127    0.000 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/numpy/core/_methods.py:164(_mean)
        2    0.000    0.000    0.125    0.063 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/scipy/sparse/_compressed.py:493(_mul_multivector)
        2    0.125    0.063    0.125    0.063 {built-in method scipy.sparse._sparsetools.csr_matvecs}
    20179    0.011    0.000    0.125    0.000 <__array_function__ internals>:177(expand_dims)
     7482    0.099    0.000    0.122    0.000 /home/p06lab/PHYS/AnimatedDrawings/animated_drawings/model/quaternions.py:63(to_rotation_matrix)
        1    0.000    0.000    0.117    0.117 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/scipy/signal/_peak_finding.py:1(<module>)
        1    0.000    0.000    0.117    0.117 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/scipy/stats/__init__.py:1(<module>)
     1783    0.014    0.000    0.115    0.000 /home/p06lab/PHYS/AnimatedDrawings/animated_drawings/model/quaternions.py:111(from_angle_axis)
126021/3465    0.059    0.000    0.111    0.000 /home/p06lab/PHYS/AnimatedDrawings/animated_drawings/model/transform.py:46(update_transforms)
      169    0.000    0.000    0.107    0.001 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/PIL/GifImagePlugin.py:966(_write_frame_data)
     4341    0.003    0.000    0.103    0.000 <__array_function__ internals>:177(mean)
    20179    0.041    0.000    0.101    0.000 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/numpy/lib/shape_base.py:512(expand_dims)
        1    0.000    0.000    0.101    0.101 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/scipy/stats/_stats_py.py:19(<module>)
        1    0.000    0.000    0.100    0.100 /home/p06lab/PHYS/AnimatedDrawings/animated_drawings/utils.py:5(<module>)
     1117    0.006    0.000    0.097    0.000 <frozen importlib._bootstrap_external>:909(get_code)
     4341    0.009    0.000    0.096    0.000 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/numpy/core/fromnumeric.py:3345(mean)
      169    0.000    0.000    0.094    0.001 /home/p06lab/PHYS/AnimatedDrawings/animated_drawings/controller/video_render_controller.py:89(_render)
      169    0.001    0.000    0.094    0.001 /home/p06lab/PHYS/AnimatedDrawings/animated_drawings/view/mesa_view.py:121(render)
      170    0.002    0.000    0.092    0.001 /home/p06lab/PHYS/AnimatedDrawings/animated_drawings/model/bvh.py:100(get_skeleton_fwd)
1327/1306    0.002    0.000    0.088    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
        1    0.069    0.069    0.086    0.086 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/skimage/measure/_polygon.py:5(approximate_polygon)
      169    0.001    0.000    0.083    0.000 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/PIL/ImageFile.py:496(_save)
        1    0.000    0.000    0.083    0.083 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/pkg_resources/__init__.py:4(<module>)
        1    0.000    0.000    0.083    0.083 /home/p06lab/miniconda3/envs/animated_drawings/lib/python3.8/site-packages/scipy/stats/distributions.py:8(<module>)
      341    0.000    0.000    0.080    0.000 /home/p06lab/PHYS/AnimatedDrawings/animated_drawings/model/joint.py:26(get_chain_worldspace_positions)
