 Writing video to: /home/p06lab/PHYS/AnimatedDrawings/video.gif
         9977517 function calls (9599287 primitive calls) in 19.864 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(<module>)
        8    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(all)
        3    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(amax)
     4524    0.003    0.000    0.029    0.000 <__array_function__ internals>:2(amin)
     2382    0.001    0.000    0.013    0.000 <__array_function__ internals>:2(any)
     1183    0.001    0.000    0.003    0.000 <__array_function__ internals>:2(argmax)
       16    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(argwhere)
       16    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(around)
      373    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(array_equal)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(array_split)
     4529    0.002    0.000    0.013    0.000 <__array_function__ internals>:2(atleast_1d)
      688    0.000    0.000    0.003    0.000 <__array_function__ internals>:2(atleast_2d)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(broadcast_arrays)
       35    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(broadcast_to)
     4179    0.002    0.000    0.006    0.000 <__array_function__ internals>:2(can_cast)
     9059    0.006    0.000    0.041    0.000 <__array_function__ internals>:2(concatenate)
    19119    0.007    0.000    0.027    0.000 <__array_function__ internals>:2(copy)
        7    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(copyto)
      351    0.000    0.000    0.016    0.000 <__array_function__ internals>:2(cross)
        5    0.000    0.000    0.683    0.137 <__array_function__ internals>:2(det)
  1318931    0.345    0.000    1.581    0.000 <__array_function__ internals>:2(dot)
       10    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(empty_like)
    39899    0.020    0.000    0.244    0.000 <__array_function__ internals>:2(expand_dims)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(flip)
     4525    0.003    0.000    0.045    0.000 <__array_function__ internals>:2(hstack)
     4183    0.003    0.000    0.065    0.000 <__array_function__ internals>:2(inv)
        4    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(isclose)
       19    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(linspace)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(may_share_memory)
     5361    0.004    0.000    0.096    0.000 <__array_function__ internals>:2(mean)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(meshgrid)
     1053    0.001    0.000    0.009    0.000 <__array_function__ internals>:2(moveaxis)
       35    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ndim)
       16    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(nonzero)
     4549    0.003    0.000    0.044    0.000 <__array_function__ internals>:2(norm)
       16    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(pad)
       45    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(prod)
       26    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(result_type)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(rot90)
       16    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(round_)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(split)
        4    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(squeeze)
      366    0.000    0.000    0.005    0.000 <__array_function__ internals>:2(stack)
    15168    0.009    0.000    0.094    0.000 <__array_function__ internals>:2(sum)
        3    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(swapaxes)
     4196    0.002    0.000    0.040    0.000 <__array_function__ internals>:2(tile)
       18    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(transpose)
        4    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(trim_zeros)
      683    0.001    0.000    0.018    0.000 <__array_function__ internals>:2(vstack)
       27    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(where)
        1    0.000    0.000    0.000    0.000 <decorator-gen-0>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-10>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-1>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-2>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-3>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-4>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-5>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-6>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-7>:1(<module>)
        3    0.000    0.000    0.000    0.000 <decorator-gen-7>:1(_held_figure)
        1    0.000    0.000    0.000    0.000 <decorator-gen-8>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-9>:1(<module>)
     30/9    0.000    0.000    0.262    0.029 <frozen importlib._bootstrap>:1002(_gcd_import)
21337/18619    0.011    0.000    0.496    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
     2207    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:103(release)
     1382    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
     1382    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:147(__enter__)
     1382    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:151(__exit__)
     2207    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
     1360    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:176(cb)
      825    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
  1869/21    0.001    0.000    0.632    0.030 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
    10225    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
     1416    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:342(__init__)
     1118    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
     2413    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:376(cached)
     8604    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap>:389(parent)
     1315    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:397(has_location)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(spec_from_loader)
     1315    0.004    0.000    0.020    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
1315/1294    0.002    0.000    0.086    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
     1360    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:58(__init__)
  1315/19    0.004    0.000    0.633    0.033 <frozen importlib._bootstrap>:650(_load_unlocked)
     1348    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(create_module)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:754(exec_module)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:771(is_package)
     2207    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:78(acquire)
     1344    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:800(find_spec)
     5418    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:863(__enter__)
     5418    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:867(__exit__)
     1348    0.007    0.000    0.072    0.000 <frozen importlib._bootstrap>:890(_find_spec)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:937(_sanity_check)
  1368/17    0.003    0.000    0.634    0.037 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
  1382/17    0.004    0.000    0.634    0.037 <frozen importlib._bootstrap>:986(_find_and_load)
     1113    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1024(get_filename)
     1113    0.004    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:1029(get_data)
     1113    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1070(path_stats)
      187    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1148(__init__)
      187    0.000    0.000    0.058    0.000 <frozen importlib._bootstrap_external>:1164(create_module)
  187/169    0.000    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:1172(exec_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1205(__init__)
     9476    0.005    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1211(_find_parent_path_names)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1221(_get_parent_path)
    25/23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1225(_recalculate)
     9476    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
    23/22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1238(__iter__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1247(__len__)
     2226    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1286(exec_module)
     4452    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
      123    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1317(_path_hooks)
     1803    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1330(_path_importer_cache)
     5131    0.002    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
     1344    0.016    0.000    0.058    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
     1344    0.001    0.000    0.059    0.000 <frozen importlib._bootstrap_external>:1399(find_spec)
     2173    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
      123    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1459(__init__)
      984    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1465(<genexpr>)
     1300    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1493(_get_spec)
     1722    0.010    0.000    0.040    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
     1988    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
      123    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1549(_fill_cache)
      185    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isdir)
      123    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1590(path_hook_for_FileFinder)
      310    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:175(_path_isabs)
     2226    0.005    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:354(cache_from_source)
     1300    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:484(_get_cached)
     1113    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:516(_check_name_wrapper)
     1113    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:553(_classify_pyc)
     1113    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:586(_validate_timestamp_pyc)
     1113    0.002    0.000    0.051    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
     1722    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_relax_case)
     1300    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:689(spec_from_file_location)
     3339    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
     1113    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:834(create_module)
  1113/15    0.002    0.000    0.632    0.042 <frozen importlib._bootstrap_external>:837(exec_module)
     1113    0.006    0.000    0.093    0.000 <frozen importlib._bootstrap_external>:909(get_code)
     1113    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:999(__init__)
      123    0.000    0.000    0.001    0.000 <frozen zipimport>:63(__init__)
        1    0.008    0.008   19.865   19.865 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(__create_fn__)
        1    0.000    0.000    0.000    0.000 <string>:1(__new__)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
       22    0.000    0.000    0.000    0.000 <string>:2(__init__)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:27(<module>)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:287(BmpRleDecoder)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:361(DibImageFile)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:62(BmpImageFile)
        2    0.000    0.000    0.000    0.000 ES2_compatibility.py:1(<module>)
        5    0.000    0.000    0.000    0.000 ES2_compatibility.py:12(_f)
        2    0.000    0.000    0.000    0.000 ES3_compatibility.py:1(<module>)
        1    0.000    0.000    0.005    0.005 ExifTags.py:12(<module>)
        1    0.000    0.000    0.001    0.001 ExifTags.py:20(Base)
        1    0.000    0.000    0.000    0.000 ExifTags.py:294(<dictcomp>)
        1    0.000    0.000    0.000    0.000 ExifTags.py:304(GPS)
        1    0.000    0.000    0.000    0.000 ExifTags.py:340(<dictcomp>)
        1    0.000    0.000    0.000    0.000 ExifTags.py:343(Interop)
        1    0.000    0.000    0.000    0.000 ExifTags.py:351(IFD)
        1    0.000    0.000    0.000    0.000 ExifTags.py:359(LightSource)
        2    0.001    0.000    0.006    0.003 GL_1_0.py:1(<module>)
      306    0.000    0.000    0.002    0.000 GL_1_0.py:12(_f)
        2    0.000    0.000    0.017    0.008 GL_1_1.py:1(<module>)
       30    0.000    0.000    0.000    0.000 GL_1_1.py:13(_f)
        2    0.000    0.000    0.000    0.000 GL_1_1.py:42(<lambda>)
        2    0.000    0.000    0.003    0.001 GL_1_2.py:1(<module>)
        4    0.000    0.000    0.000    0.000 GL_1_2.py:12(_f)
        1    0.000    0.000    0.001    0.001 GL_1_2_images.py:1(<module>)
        2    0.000    0.000    0.002    0.001 GL_1_3.py:1(<module>)
       46    0.000    0.000    0.000    0.000 GL_1_3.py:12(_f)
        2    0.000    0.000    0.002    0.001 GL_1_4.py:1(<module>)
       47    0.000    0.000    0.000    0.000 GL_1_4.py:12(_f)
        2    0.000    0.000    0.001    0.001 GL_1_5.py:1(<module>)
       19    0.000    0.000    0.000    0.000 GL_1_5.py:12(_f)
        4    0.000    0.000    0.000    0.000 GL_1_5.py:43(<lambda>)
      680    0.001    0.000    0.016    0.000 GL_1_5.py:67(glBufferData)
        2    0.000    0.000    0.011    0.005 GL_2_0.py:1(<module>)
       93    0.000    0.000    0.001    0.000 GL_2_0.py:12(_f)
        6    0.000    0.000    0.000    0.000 GL_2_0.py:254(glGetShaderiv)
        2    0.000    0.000    0.000    0.000 GL_2_0.py:280(_afterCheck)
     1360    0.006    0.000    0.015    0.000 GL_2_0.py:422(glGetUniformLocation)
        3    0.000    0.000    0.001    0.000 GL_2_0.py:442(glVertexAttribPointer)
        2    0.000    0.000    0.001    0.000 GL_2_1.py:1(<module>)
        6    0.000    0.000    0.000    0.000 GL_2_1.py:12(_f)
        2    0.000    0.000    0.002    0.001 GL_3_0.py:1(<module>)
       84    0.000    0.000    0.001    0.000 GL_3_0.py:12(_f)
        2    0.000    0.000    0.000    0.000 GL_3_0.py:163(<lambda>)
        2    0.000    0.000    0.001    0.000 GL_3_1.py:1(<module>)
       15    0.000    0.000    0.000    0.000 GL_3_1.py:12(_f)
        2    0.000    0.000    0.001    0.001 GL_3_2.py:1(<module>)
       19    0.000    0.000    0.000    0.000 GL_3_2.py:12(_f)
        2    0.000    0.000    0.002    0.001 GL_3_3.py:1(<module>)
       58    0.000    0.000    0.000    0.000 GL_3_3.py:12(_f)
        2    0.000    0.000    0.002    0.001 GL_4_0.py:1(<module>)
       46    0.000    0.000    0.000    0.000 GL_4_0.py:12(_f)
        2    0.000    0.000    0.007    0.004 GL_4_1.py:1(<module>)
       89    0.000    0.000    0.001    0.000 GL_4_1.py:12(_f)
        2    0.000    0.000    0.005    0.003 GL_4_2.py:1(<module>)
       12    0.000    0.000    0.000    0.000 GL_4_2.py:12(_f)
        2    0.000    0.000    0.011    0.006 GL_4_3.py:1(<module>)
       44    0.000    0.000    0.000    0.000 GL_4_3.py:12(_f)
        2    0.000    0.000    0.001    0.000 GL_4_4.py:1(<module>)
        9    0.000    0.000    0.000    0.000 GL_4_4.py:12(_f)
        2    0.000    0.000    0.003    0.002 GL_4_5.py:1(<module>)
      122    0.000    0.000    0.001    0.000 GL_4_5.py:12(_f)
        2    0.000    0.000    0.000    0.000 GL_4_6.py:1(<module>)
        4    0.000    0.000    0.000    0.000 GL_4_6.py:12(_f)
        1    0.000    0.000    0.001    0.001 GifImagePlugin.py:27(<module>)
        1    0.000    0.000    0.000    0.000 GifImagePlugin.py:39(LoadingStrategy)
